pH,EC,Total Hardness,Ca,Mg,Cl,SO4,NO3,F,Potable,WQI,WQI_Category
8.23,385.0,170.0,20.0,29.0,28.0,20.0,1.0,0.1,1,43.04289518276447,Excellent
8.16,271.0,40.0,10.0,4.0,32.0,39.0,2.0,0.0,1,22.203292181069955,Excellent
7.96,358.0,170.0,44.0,15.0,21.0,17.0,2.0,0.04,1,39.8635681433067,Excellent
8.18,405.0,155.0,24.0,23.0,18.0,29.0,1.0,0.07,1,40.69685306221254,Excellent
8.11,190.0,35.0,8.0,4.0,18.0,12.0,25.0,0.03,1,28.00622125393367,Excellent
8.24,368.0,90.0,20.0,10.0,53.0,0.0,5.0,0.0,1,31.561897845557976,Excellent
8.24,342.0,145.0,22.0,22.0,18.0,27.0,1.0,0.0,1,37.033091261195835,Excellent
8.14,278.0,100.0,16.0,15.0,28.0,12.0,0.0,0.05,1,29.330718954248365,Excellent
8.18,515.0,180.0,30.0,26.0,32.0,22.0,0.0,0.14,1,47.41002178649237,Excellent
8.22,307.0,115.0,24.0,13.0,28.0,5.0,13.0,0.0,1,35.86751391914791,Excellent
7.98,329.0,145.0,14.0,27.0,25.0,17.0,0.0,0.34,1,40.77523602033406,Excellent
7.63,384.0,130.0,18.0,21.0,32.0,25.0,3.0,0.49,1,42.95541031227305,Excellent
8.23,450.0,175.0,16.0,33.0,39.0,44.0,0.0,0.02,1,45.63013798111838,Excellent
8.16,292.0,135.0,24.0,18.0,14.0,7.0,0.0,0.13,1,34.32222222222223,Excellent
8.07,526.0,235.0,38.0,34.0,21.0,17.0,0.0,0.09,0,53.661074800290486,Good
8.27,376.0,155.0,30.0,19.0,25.0,15.0,0.0,0.09,1,38.99092229484386,Excellent
8.17,394.0,160.0,32.0,19.0,21.0,16.0,0.0,0.08,1,39.71735657225854,Excellent
8.05,330.0,135.0,22.0,19.0,35.0,21.0,14.0,0.0,1,40.53582667634956,Excellent
8.22,594.0,225.0,36.0,33.0,39.0,23.0,0.0,0.07,0,54.757225853304284,Good
8.24,622.0,135.0,26.0,17.0,46.0,53.0,1.0,0.1,1,45.159017187121755,Excellent
7.7,713.0,230.0,52.0,24.0,78.0,30.0,0.0,0.13,0,58.71270878721859,Good
8.27,339.0,150.0,28.0,19.0,35.0,3.0,5.0,0.09,1,39.41273299443234,Excellent
8.24,355.0,70.0,14.0,9.0,78.0,8.0,2.0,0.0,1,28.673008956669083,Excellent
8.23,591.0,185.0,24.0,30.0,21.0,29.0,0.0,0.18,1,50.627668845315895,Good
8.08,259.0,80.0,22.0,6.0,21.0,9.0,3.0,0.0,1,25.55250544662309,Excellent
8.09,1004.0,300.0,34.0,52.0,89.0,0.0,3.0,0.52,0,83.09455337690633,Good
8.0,695.0,250.0,42.0,35.0,60.0,29.0,0.0,0.15,0,61.90994916485112,Good
7.92,809.0,215.0,30.0,34.0,135.0,25.0,4.0,0.09,0,63.54187847978697,Good
8.06,413.0,125.0,18.0,19.0,25.0,8.0,2.0,0.57,1,42.766763495521666,Excellent
8.2,371.0,140.0,24.0,19.0,18.0,32.0,2.0,0.0,1,37.21839748244977,Excellent
8.27,617.0,240.0,16.0,49.0,82.0,27.0,1.0,0.07,0,60.99874122488501,Good
8.11,343.0,160.0,30.0,21.0,18.0,5.0,3.0,0.09,1,39.7119825708061,Excellent
7.85,1169.0,335.0,26.0,66.0,135.0,242.0,2.0,0.6,0,103.80597918179618,Poor
8.23,198.0,80.0,20.0,7.0,18.0,4.0,2.0,0.15,1,25.41738077947228,Excellent
8.29,635.0,235.0,24.0,43.0,78.0,47.0,28.0,0.46,0,76.69394819656257,Good
8.29,461.0,170.0,30.0,23.0,60.0,27.0,0.0,0.11,1,45.150326797385624,Excellent
7.97,852.0,200.0,18.0,38.0,174.0,0.0,7.0,0.0,1,63.87063664972162,Good
8.09,504.0,200.0,24.0,34.0,50.0,17.0,14.0,0.35,1,58.94722827402567,Good
8.14,278.0,105.0,30.0,7.0,18.0,4.0,0.0,0.07,1,28.373928830791577,Excellent
8.1,368.0,150.0,24.0,22.0,25.0,20.0,2.0,0.22,1,41.20285645122246,Excellent
8.16,389.0,115.0,8.0,23.0,82.0,0.0,2.0,0.0,1,36.06131687242798,Excellent
8.12,324.0,60.0,18.0,4.0,25.0,0.0,1.0,0.42,1,28.895182764463808,Excellent
8.22,812.0,200.0,12.0,41.0,50.0,27.0,2.0,0.38,1,63.28274025659647,Good
8.24,167.0,50.0,18.0,1.0,11.0,11.0,3.0,0.0,1,19.087000726216413,Excellent
8.09,129.0,45.0,8.0,6.0,14.0,17.0,3.0,0.25,1,21.508133623819898,Excellent
8.3,732.0,295.0,16.0,62.0,39.0,33.0,10.0,0.41,0,78.58414427499395,Good
8.13,397.0,155.0,18.0,27.0,14.0,50.0,15.0,0.3,1,50.3084241103849,Good
7.84,418.0,180.0,22.0,30.0,25.0,21.0,0.0,0.24,1,46.00508351488743,Excellent
8.21,766.0,170.0,18.0,30.0,82.0,28.0,1.0,0.0,1,53.168675865407884,Good
8.26,1674.0,320.0,20.0,66.0,230.0,152.0,10.0,0.0,0,110.27644638102156,Poor
8.23,123.0,40.0,12.0,2.0,11.0,5.0,8.0,0.07,1,19.61738077947228,Excellent
8.19,412.0,175.0,16.0,33.0,32.0,34.0,2.0,0.18,1,46.87758412006778,Excellent
8.22,252.0,80.0,28.0,2.0,35.0,0.0,9.0,0.0,1,27.459694989106758,Excellent
8.12,460.0,155.0,16.0,28.0,71.0,0.0,2.0,0.0,1,42.71287823771484,Excellent
8.17,439.0,150.0,14.0,28.0,53.0,47.0,0.0,0.0,1,42.0482207697894,Excellent
7.7,2532.0,460.0,76.0,66.0,606.0,92.0,1.0,0.28,0,155.7192931493585,Poor
8.03,485.0,235.0,18.0,46.0,18.0,24.0,2.0,0.38,0,58.66901476640039,Good
8.04,818.0,300.0,56.0,39.0,64.0,66.0,12.0,0.14,0,77.61888162672476,Good
8.04,577.0,220.0,30.0,35.0,25.0,30.0,0.0,0.21,0,55.32752360203341,Good
8.03,388.0,185.0,26.0,29.0,21.0,15.0,5.0,0.24,1,47.64679254417816,Excellent
8.03,509.0,200.0,20.0,36.0,50.0,28.0,0.0,0.3,1,53.19535221496006,Good
8.22,380.0,150.0,30.0,18.0,53.0,12.0,0.0,0.0,1,38.00537400145243,Excellent
7.99,418.0,150.0,28.0,19.0,21.0,6.0,2.0,0.0,1,38.46995884773663,Excellent
8.08,768.0,190.0,42.0,21.0,103.0,32.0,16.0,0.37,1,65.94921326555314,Good
8.2,491.0,215.0,38.0,29.0,39.0,21.0,0.0,0.16,0,51.492883079157586,Good
7.96,592.0,210.0,36.0,29.0,46.0,31.0,10.0,0.18,0,58.1434035342532,Good
8.01,144.0,40.0,6.0,6.0,21.0,7.0,0.0,0.17,1,18.849527959331883,Excellent
7.98,340.0,65.0,18.0,5.0,46.0,0.0,2.0,0.07,1,26.529145485354636,Excellent
8.13,202.0,90.0,20.0,10.0,21.0,6.0,1.0,0.0,1,24.995255386105057,Excellent
7.89,624.0,250.0,56.0,27.0,64.0,6.0,1.0,0.1,0,58.23301863955458,Good
7.96,615.0,170.0,32.0,22.0,99.0,49.0,0.0,0.01,1,49.32694262890341,Excellent
8.29,420.0,165.0,30.0,22.0,32.0,5.0,0.0,0.05,1,41.10464778503994,Excellent
8.22,506.0,230.0,22.0,43.0,14.0,42.0,0.0,0.0,0,53.59055918663762,Good
8.28,260.0,85.0,16.0,11.0,35.0,0.0,3.0,0.0,1,27.07371096586783,Excellent
8.07,175.0,50.0,8.0,7.0,28.0,3.0,2.0,0.39,1,24.487823771483903,Excellent
8.22,838.0,200.0,16.0,39.0,53.0,231.0,14.0,0.3,1,75.37162914548536,Good
8.03,539.0,155.0,20.0,26.0,103.0,0.0,5.0,0.0,1,46.61963205035101,Excellent
8.3,1910.0,365.0,50.0,58.0,245.0,42.0,12.0,0.34,0,121.51089324618736,Poor
8.0,451.0,165.0,26.0,24.0,18.0,28.0,1.0,0.09,1,43.10789155168241,Excellent
8.21,75.0,15.0,4.0,1.0,7.0,9.0,1.0,0.0,1,11.75509561849431,Excellent
7.29,265.0,160.0,32.0,19.0,23.0,21.0,0.0,0.08,1,36.00973129992738,Excellent
7.29,279.0,155.0,30.0,19.0,40.0,17.0,0.0,0.07,1,36.01343500363108,Excellent
7.26,261.0,150.0,36.0,15.0,10.0,18.0,0.0,0.06,1,33.69716775599128,Excellent
7.24,260.0,150.0,38.0,13.0,23.0,18.0,0.0,0.06,1,33.595787944807554,Excellent
7.99,466.0,230.0,58.0,21.0,27.0,31.0,2.0,0.07,0,51.25267489711933,Good
7.9,469.0,225.0,58.0,19.0,36.0,38.0,3.0,0.06,0,51.043790849673194,Good
7.83,465.0,220.0,54.0,21.0,36.0,22.0,2.0,0.05,0,49.626821592834666,Excellent
7.29,271.0,165.0,40.0,16.0,23.0,18.0,0.0,0.05,1,36.02824981844589,Excellent
7.78,204.0,130.0,44.0,5.0,17.0,6.0,5.0,0.03,1,30.563495521665455,Excellent
7.74,216.0,155.0,38.0,15.0,17.0,6.0,7.0,0.03,1,35.85168240135561,Excellent
7.68,212.0,95.0,34.0,2.0,17.0,8.0,8.0,0.03,1,27.445485354635682,Excellent
7.73,212.0,125.0,30.0,12.0,10.0,6.0,7.0,0.03,1,31.57383200193658,Excellent
7.63,149.0,60.0,18.0,4.0,10.0,9.0,4.0,0.07,1,20.949648995400633,Excellent
7.76,625.0,115.0,22.0,15.0,17.0,6.0,4.0,0.16,1,41.74565480513193,Excellent
7.47,384.0,230.0,60.0,19.0,13.0,24.0,2.0,0.06,0,47.53284918905834,Excellent
7.55,234.0,140.0,30.0,16.0,10.0,9.0,1.0,0.04,1,32.040426046962,Excellent
6.55,156.0,60.0,16.0,5.0,17.0,1.0,1.0,0.04,1,18.56155894456548,Excellent
7.48,646.0,235.0,66.0,17.0,17.0,17.0,8.0,0.1,0,57.25884773662551,Good
6.8,121.0,40.0,14.0,1.0,20.0,8.0,4.0,0.04,1,16.609053497942384,Excellent
7.25,401.0,230.0,46.0,28.0,13.0,19.0,2.0,0.04,0,48.588041636407645,Excellent
7.76,532.0,205.0,44.0,23.0,43.0,28.0,18.0,0.14,0,57.77116920842412,Good
6.8,414.0,135.0,34.0,12.0,43.0,32.0,34.0,0.03,1,49.95102880658436,Excellent
7.19,152.0,90.0,28.0,5.0,13.0,2.0,1.0,0.05,1,22.50694747034616,Excellent
7.19,148.0,65.0,18.0,5.0,17.0,10.0,5.0,0.06,1,21.722173807794725,Excellent
6.79,381.0,115.0,40.0,4.0,40.0,38.0,3.0,0.05,1,33.56535947712418,Excellent
6.83,119.0,60.0,4.0,12.0,7.0,1.0,2.0,0.04,1,18.822028564512227,Excellent
7.52,304.0,50.0,6.0,8.0,56.0,26.0,13.0,0.01,1,28.784652626482693,Excellent
6.37,178.0,55.0,14.0,5.0,23.0,24.0,17.0,0.07,0,26.358194141854273,Excellent
6.24,192.0,50.0,16.0,2.0,40.0,9.0,7.0,0.1,0,21.701282982328735,Excellent
6.63,210.0,80.0,18.0,8.0,36.0,12.0,42.0,0.0,1,39.8320987654321,Excellent
7.08,270.0,140.0,48.0,5.0,23.0,0.0,21.0,0.31,1,42.727959331880896,Excellent
6.46,334.0,90.0,22.0,8.0,76.0,5.0,5.0,0.08,0,30.58106995884773,Excellent
7.83,330.0,165.0,52.0,8.0,27.0,23.0,5.0,0.55,1,45.30459937061244,Excellent
7.07,124.0,30.0,6.0,4.0,33.0,11.0,8.0,0.05,1,18.554635681433066,Excellent
7.3,83.0,30.0,10.0,1.0,7.0,2.0,4.0,0.15,1,15.70898087630114,Excellent
6.53,235.0,75.0,20.0,6.0,17.0,26.0,12.0,0.17,1,29.348656499636892,Excellent
6.94,451.0,205.0,54.0,17.0,70.0,35.0,10.0,0.36,0,54.79895908980876,Good
6.91,191.0,60.0,16.0,5.0,40.0,15.0,9.0,0.3,1,27.441539578794483,Excellent
6.6,300.0,65.0,14.0,7.0,66.0,21.0,5.0,0.1,1,27.46233357540547,Excellent
6.84,337.0,135.0,44.0,6.0,46.0,23.0,2.0,0.19,1,35.90605180343742,Excellent
6.82,587.0,200.0,44.0,22.0,99.0,31.0,42.0,0.05,1,68.19767610748005,Good
7.46,858.0,310.0,54.0,42.0,83.0,25.0,14.0,0.12,0,79.09203582667635,Good
8.05,612.0,270.0,82.0,16.0,63.0,20.0,5.0,0.21,0,62.45804889857178,Good
7.9,33.0,50.0,10.0,6.0,13.0,6.0,1.0,0.03,1,15.570128298232872,Excellent
7.13,105.0,65.0,24.0,1.0,10.0,12.0,1.0,0.15,1,19.34725248123941,Excellent
7.4,101.0,55.0,8.0,8.0,7.0,12.0,0.0,0.16,1,18.77349310094408,Excellent
7.58,110.0,65.0,8.0,11.0,7.0,17.0,0.0,0.17,1,21.12788671023965,Excellent
7.62,102.0,65.0,12.0,8.0,10.0,11.0,1.0,0.17,1,20.72488501573469,Excellent
7.57,100.0,65.0,12.0,8.0,10.0,13.0,0.0,0.18,1,20.417937545388526,Excellent
6.8,433.0,165.0,58.0,5.0,76.0,51.0,0.0,0.07,1,41.233333333333334,Excellent
6.6,184.0,40.0,10.0,4.0,53.0,0.0,5.0,0.19,1,21.453691600096832,Excellent
6.56,280.0,120.0,26.0,13.0,30.0,9.0,4.0,0.19,1,33.17768094892278,Excellent
6.43,553.0,40.0,10.0,4.0,46.0,27.0,9.0,0.19,0,32.855337690631806,Excellent
7.46,212.0,105.0,40.0,1.0,17.0,9.0,1.0,1.3,1,41.16322924231421,Excellent
7.06,127.0,110.0,24.0,12.0,40.0,7.0,1.0,0.19,1,27.60106511740499,Excellent
6.5,103.0,55.0,10.0,7.0,23.0,12.0,2.0,0.02,1,17.533212297264587,Excellent
6.53,120.0,65.0,18.0,5.0,7.0,0.0,1.0,0.19,1,19.747833454369403,Excellent
6.93,210.0,40.0,10.0,4.0,46.0,11.0,3.0,0.19,1,21.7602033405955,Excellent
6.76,207.0,40.0,12.0,2.0,30.0,1.0,13.0,0.19,1,24.364318566932948,Excellent
7.16,739.0,320.0,90.0,23.0,40.0,13.0,16.0,0.19,0,74.71290244492859,Good
6.74,372.0,50.0,12.0,5.0,27.0,2.0,3.0,0.19,1,25.920551924473497,Excellent
6.9,110.0,40.0,10.0,4.0,36.0,11.0,5.0,0.19,1,19.791672718470107,Excellent
7.54,388.0,150.0,48.0,7.0,13.0,3.0,1.0,0.06,1,35.836649721617036,Excellent
7.73,404.0,170.0,42.0,16.0,20.0,13.0,3.0,0.19,1,42.95860566448801,Excellent
6.89,41.0,25.0,4.0,4.0,10.0,6.0,0.0,0.03,1,11.368554829339145,Excellent
6.83,37.0,20.0,4.0,2.0,7.0,5.0,1.0,0.02,1,10.361123214717987,Excellent
6.5,373.0,110.0,30.0,8.0,63.0,33.0,1.0,0.04,1,32.38712176228516,Excellent
6.99,64.0,475.0,6.0,112.0,17.0,5.0,0.0,0.02,0,77.36681190994915,Good
7.2,266.0,105.0,22.0,12.0,10.0,5.0,5.0,0.48,1,34.8444686516582,Excellent
6.9,204.0,125.0,34.0,10.0,10.0,12.0,5.0,0.19,1,31.87932703945776,Excellent
6.63,165.0,110.0,28.0,10.0,20.0,14.0,4.0,0.04,1,27.06584362139918,Excellent
7.31,262.0,140.0,40.0,10.0,36.0,5.0,1.0,0.19,1,34.2559670781893,Excellent
6.73,298.0,90.0,20.0,10.0,33.0,31.0,38.0,0.19,1,44.99908012587751,Excellent
6.99,106.0,40.0,10.0,4.0,17.0,10.0,6.0,0.02,1,17.484095860566452,Excellent
6.5,226.0,100.0,26.0,8.0,7.0,5.0,1.0,0.19,1,26.76489954006294,Excellent
7.37,375.0,170.0,56.0,7.0,30.0,37.0,5.0,0.41,1,45.39385136770758,Excellent
7.01,198.0,120.0,30.0,11.0,10.0,3.0,4.0,0.3,1,31.94020818203825,Excellent
6.46,141.0,50.0,8.0,7.0,7.0,3.0,10.0,0.15,0,21.952263374485597,Excellent
6.95,786.0,325.0,98.0,19.0,116.0,6.0,0.0,0.17,0,70.83318809005084,Good
7.55,225.0,75.0,22.0,5.0,20.0,5.0,7.0,0.17,1,27.17005567659162,Excellent
6.74,259.0,170.0,46.0,13.0,23.0,11.0,4.0,0.05,1,36.69503752118131,Excellent
7.03,533.0,205.0,40.0,25.0,40.0,65.0,14.0,0.31,0,59.041999515855714,Good
7.1,145.0,70.0,22.0,4.0,10.0,5.0,2.0,0.14,1,21.43016218833212,Excellent
7.32,330.0,180.0,62.0,6.0,13.0,13.0,4.0,0.12,1,39.92887920600339,Excellent
6.52,110.0,35.0,10.0,2.0,20.0,9.0,0.0,0.04,1,13.984386347131444,Excellent
7.27,489.0,450.0,80.0,61.0,126.0,23.0,13.0,0.19,0,90.13468893730332,Good
7.26,260.0,145.0,48.0,6.0,46.0,51.0,11.0,0.41,1,42.97576857903655,Excellent
7.34,345.0,105.0,26.0,10.0,73.0,51.0,3.0,0.04,1,34.0841684822077,Excellent
7.34,306.0,90.0,14.0,13.0,17.0,33.0,1.0,0.04,1,28.4722343258291,Excellent
8.32,654.0,370.0,90.0,35.0,80.0,36.0,3.0,0.11,0,76.54684095860567,Good
7.24,518.0,460.0,92.0,56.0,109.0,28.0,33.0,0.19,0,99.21801016702976,Good
6.83,248.0,145.0,34.0,15.0,13.0,18.0,2.0,0.09,1,33.70968288549987,Excellent
7.24,156.0,50.0,12.0,5.0,13.0,35.0,12.0,0.06,1,23.929121278140887,Excellent
6.71,180.0,85.0,24.0,6.0,20.0,11.0,18.0,0.14,1,30.92774146695715,Excellent
7.4,173.0,75.0,20.0,6.0,13.0,31.0,2.0,0.33,1,26.502711207939964,Excellent
7.61,305.0,125.0,36.0,8.0,17.0,16.0,10.0,1.0,1,46.96061486322924,Excellent
6.58,218.0,60.0,12.0,7.0,10.0,19.0,4.0,0.2,1,23.935850883563305,Excellent
7.48,260.0,140.0,46.0,6.0,20.0,25.0,9.0,0.42,1,40.160493827160494,Excellent
7.07,216.0,100.0,26.0,8.0,20.0,7.0,3.0,0.47,1,31.753812636165577,Excellent
6.6,186.0,80.0,40.0,5.0,17.0,1.0,17.0,0.47,1,35.90554345194868,Excellent
6.74,224.0,90.0,26.0,6.0,27.0,26.0,11.0,0.15,1,30.62014040183975,Excellent
7.03,169.0,55.0,6.0,10.0,17.0,0.0,1.0,0.31,1,22.68973614137013,Excellent
6.74,132.0,35.0,4.0,6.0,20.0,6.0,10.0,0.03,1,19.192568385378845,Excellent
7.29,3590.0,230.0,56.0,22.0,928.0,36.0,5.0,0.11,0,156.46240619704676,Poor
6.45,485.0,140.0,40.0,10.0,50.0,71.0,7.0,0.1,0,43.22996853062212,Excellent
7.23,157.0,100.0,36.0,2.0,23.0,25.0,1.0,0.05,1,24.44304042604696,Excellent
7.19,303.0,115.0,30.0,10.0,30.0,17.0,2.0,0.11,1,31.983902202856445,Excellent
6.89,522.0,220.0,46.0,25.0,50.0,26.0,35.0,0.14,0,65.76567417090294,Good
6.94,29.0,45.0,10.0,5.0,10.0,0.0,1.0,0.19,1,15.650810941660616,Excellent
6.82,272.0,75.0,14.0,10.0,56.0,7.0,1.0,0.06,1,25.674630839990314,Excellent
7.07,657.0,250.0,56.0,27.0,66.0,48.0,3.0,0.1,0,60.77109658678286,Good
7.16,1302.0,370.0,82.0,40.0,119.0,32.0,11.0,0.17,0,97.24294359719195,Good
7.47,356.0,180.0,54.0,11.0,17.0,9.0,1.0,0.13,1,40.22749939481965,Excellent
7.78,129.0,75.0,10.0,12.0,23.0,0.0,6.0,0.05,1,23.825635439360923,Excellent
7.86,412.0,210.0,68.0,10.0,30.0,21.0,4.0,0.12,0,47.26119583635923,Excellent
8.14,550.0,265.0,82.0,15.0,43.0,15.0,8.0,0.21,0,60.81425804889858,Good
7.62,128.0,55.0,10.0,7.0,23.0,12.0,17.0,0.07,1,25.916654563059794,Excellent
7.91,268.0,115.0,30.0,10.0,43.0,17.0,5.0,0.08,1,32.99653836843379,Excellent
8.1,194.0,80.0,30.0,1.0,36.0,17.0,4.0,0.13,1,26.055531348341805,Excellent
7.01,173.0,85.0,24.0,6.0,17.0,16.0,1.0,0.08,1,23.37601065117405,Excellent
7.62,247.0,130.0,44.0,5.0,20.0,19.0,10.0,0.11,1,35.10142822561123,Excellent
7.51,452.0,205.0,54.0,17.0,50.0,15.0,2.0,0.07,0,47.114621157104814,Excellent
7.42,207.0,105.0,36.0,4.0,17.0,5.0,5.0,0.1,1,28.20656015492617,Excellent
6.55,122.0,95.0,20.0,11.0,13.0,16.0,0.0,0.18,1,24.23522149600581,Excellent
7.21,103.0,60.0,10.0,8.0,10.0,12.0,1.0,0.15,1,19.608327281529892,Excellent
7.61,101.0,65.0,12.0,8.0,7.0,13.0,0.0,0.17,1,20.265141612200434,Excellent
7.3,103.0,60.0,10.0,8.0,7.0,13.0,1.0,0.16,1,19.75836359235052,Excellent
7.44,102.0,70.0,10.0,11.0,7.0,13.0,1.0,0.17,1,21.64580004841443,Excellent
7.61,200.0,120.0,42.0,4.0,13.0,5.0,6.0,0.05,1,29.59724037763253,Excellent
6.84,109.0,65.0,16.0,6.0,10.0,12.0,0.0,0.2,1,20.065722585330427,Excellent
7.79,150.0,65.0,16.0,6.0,20.0,11.0,12.0,0.12,1,26.1158315177923,Excellent
7.83,95.0,65.0,24.0,1.0,13.0,18.0,2.0,0.05,1,19.198426531106268,Excellent
8.37,630.0,220.0,72.0,10.0,63.0,42.0,11.0,0.24,0,60.35419995158558,Good
8.23,215.0,135.0,48.0,4.0,20.0,34.0,9.0,0.11,1,35.48692810457516,Excellent
6.59,175.0,60.0,10.0,8.0,17.0,8.0,0.0,0.06,1,19.382425562817723,Excellent
6.45,132.0,25.0,8.0,1.0,23.0,2.0,0.0,0.04,0,13.074001452432823,Excellent
6.54,90.0,35.0,6.0,5.0,23.0,3.0,3.0,0.01,1,14.75737109658678,Excellent
7.36,339.0,90.0,28.0,5.0,53.0,27.0,24.0,0.03,1,38.60159767610748,Excellent
7.77,465.0,225.0,56.0,21.0,30.0,34.0,2.0,0.05,0,50.415274751876055,Good
7.75,457.0,220.0,62.0,16.0,36.0,18.0,3.0,0.04,0,48.83282498184458,Excellent
7.75,465.0,225.0,58.0,19.0,36.0,14.0,2.0,0.05,0,49.390438150568876,Excellent
7.82,471.0,225.0,58.0,19.0,46.0,19.0,3.0,0.05,0,50.492592592592594,Good
7.99,458.0,235.0,56.0,23.0,36.0,31.0,2.0,0.06,0,51.920576131687234,Good
7.54,179.0,170.0,32.0,22.0,23.0,4.0,0.0,0.05,1,34.77080610021786,Excellent
7.88,182.0,165.0,32.0,21.0,23.0,1.0,0.0,0.08,1,34.75228758169934,Excellent
7.59,262.0,170.0,44.0,15.0,20.0,4.0,0.0,0.04,1,35.83660130718955,Excellent
7.25,274.0,145.0,38.0,12.0,20.0,14.0,0.0,0.06,1,33.06499636891794,Excellent
7.28,274.0,160.0,34.0,18.0,23.0,16.0,0.0,0.06,1,35.71706608569354,Excellent
7.55,250.0,175.0,30.0,24.0,23.0,4.0,0.0,0.04,1,37.13137254901961,Excellent
7.84,202.0,120.0,42.0,4.0,13.0,2.0,5.0,0.05,1,29.324425078673443,Excellent
7.7,267.0,165.0,26.0,24.0,20.0,2.0,0.0,0.07,1,36.74110384894699,Excellent
7.72,200.0,120.0,42.0,4.0,10.0,1.0,5.0,0.05,1,29.04454127329944,Excellent
7.93,203.0,120.0,40.0,5.0,10.0,2.0,4.0,0.04,1,28.87775357056403,Excellent
7.74,202.0,125.0,42.0,5.0,10.0,2.0,5.0,0.03,1,29.54962478818688,Excellent
7.27,112.0,75.0,12.0,11.0,17.0,6.0,1.0,0.11,1,21.614935850883562,Excellent
7.71,384.0,205.0,44.0,23.0,40.0,15.0,26.0,0.05,0,55.683974824497696,Good
7.64,378.0,195.0,50.0,17.0,40.0,15.0,26.0,0.05,1,53.58593560881143,Good
8.12,466.0,205.0,58.0,15.0,43.0,22.0,2.0,0.1,0,48.26596465746792,Excellent
7.8,436.0,230.0,54.0,23.0,30.0,10.0,2.0,0.05,0,49.55870249334302,Excellent
7.57,383.0,175.0,46.0,14.0,46.0,5.0,26.0,0.05,1,50.64098281287824,Good
7.65,204.0,125.0,44.0,4.0,7.0,2.0,5.0,0.05,1,29.604526748971193,Excellent
7.66,376.0,190.0,46.0,18.0,43.0,9.0,26.0,0.04,1,52.79719196320504,Good
